,LocationID,SessionID,GroupID,RecordID,Language,Lockdown,start_time,end_time,latitude,longitude,Traffic,Other,Human,Natural,ISOPleasant,ISOEventful,pleasant,chaotic,vibrant,uneventful,calm,annoying,eventful,monotonous,Overall,Appropriate,loud,sss04,sss05,who01,who02,who03,who04,who05,WHO_Sum,Age,Gender,occ00___Employed,occ00___Unemployed,occ00___Retired,occ00___Student,occ00___Other,occ00___RatherNotSay,occ00_other,Occupation,edu00,eth00,eth00_other,misc00,misc03,misc03_other,misc04,misc01,use00,uni00,res00___1,res00___2,res00___3,res00___4,res00___5,res02,paper,RecordingLength,Loudness_N5(soneGF),N10_N90(soneGF),Sharpness_S(acum),Rough_HM_R(asper),"Rough_HM_Avg,arith(asper)","FS_Avg,arith(vacil)","I_HM_Avg,arith(iu)","Ton_HM_Avg,arith(tuHMS)",LZeq_L(dB(SPL)),LAeq_L(A)(dB(SPL)),LA10_LA90(dB(SPL)),LCeq_LAeq(dB(SPL)),LC10_LC90(dB(SPL)),RA_2D_cp(cPa),PA(Zwicker)
1768,TorringtonSq,TorringtonSq2,TS221,141.0,English,0,2019-03-18 12:53:00,2019-03-18 13:00:00,51.523373,-0.131141,3.0,3.0,4.0,3.0,-0.0429,-0.3536,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,52.0,26.0,Male,0.0,0.0,0.0,1.0,0.0,0.0,,Student,7.0,1.0,,Ucl,,,,I usually practice meditation in the parc next door amd i listen to this enviromment,4.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,40.7,21.7,9.7,1.98,0.0452,0.0452,0.0251,0.454,0.181,68.51,64.05,10.36,4.15,9.17,11.7,23.64202235700214
1769,TorringtonSq,TorringtonSq2,TS222,142.0,English,0,2019-03-18 12:59:00,2019-03-18 13:05:00,51.523373,-0.131141,3.0,3.0,4.0,2.0,0.2803,0.4268,4.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0,5.0,4.0,1.0,1.0,3.0,1.0,2.0,32.0,,Female,0.0,0.0,0.0,1.0,0.0,0.0,,Student,2.0,6.0,,UCL,,,,,4.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
1770,TorringtonSq,TorringtonSq2,TS223,143.0,English,0,2019-03-18 13:00:00,2019-03-18 13:07:00,51.523373,-0.131141,2.0,2.0,2.0,2.0,0.1036,0.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60.0,,Female,0.0,0.0,0.0,1.0,0.0,0.0,,Student,2.0,3.0,,Ucl,,,,,4.0,2.0,1.0,1.0,0.0,0.0,0.0,She didn't really want to take the test,0.0,32.94,24.1,7.5,2.02,0.039,0.039,0.0236,0.38,0.226,73.52,66.77,5.59,5.44,5.74,13.9,26.639784494788906
1771,TorringtonSq,TorringtonSq2,TS224,144.0,English,0,2019-03-18 13:07:00,2019-03-18 13:12:00,51.523373,-0.131141,2.0,3.0,4.0,1.0,0.2071,-0.1036,4.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,4.0,1.0,3.0,52.0,23.0,Female,0.0,0.0,0.0,1.0,0.0,0.0,,Student,2.0,1.0,,Ucl,,,,Its v calm for london,4.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,34.73,22.5,6.7,1.95,0.0372,0.0372,0.0211,0.466,0.19,78.57,64.25,5.59,12.09,10.31,14.8,24.25543115383125
1772,TorringtonSq,TorringtonSq2,TS225,145.0,English,0,2019-03-18 13:07:00,2019-03-18 13:20:00,51.523373,-0.131141,4.0,4.0,4.0,4.0,-0.1036,0.8536,2.0,4.0,5.0,1.0,1.0,3.0,5.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,0.0,4.0,2.0,3.0,48.0,25.0,Male,0.0,0.0,0.0,1.0,0.0,0.0,,Student,5.0,1.0,,humboldt university berlin,,,,,4.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,24.13,16.0,5.19,1.89,0.0324,0.0324,0.0176,0.495,0.117,69.15,59.83,6.48,7.32,7.48,12.9,16.84894351125569
1773,TorringtonSq,TorringtonSq2,TS226,146.0,English,0,2019-03-18 13:12:00,2019-03-18 13:24:00,51.523373,-0.131141,3.0,2.0,3.0,1.0,0.7803,0.6339,5.0,3.0,5.0,1.0,4.0,1.0,5.0,1.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,4.0,1.0,5.0,56.0,31.0,Female,0.0,0.0,0.0,1.0,0.0,0.0,,Student,7.0,1.0,,Ucl,,,,The urban plazza is a huge forgiveness factor for traffic noise.,4.0,1.0,1.0,1.0,0.0,0.0,0.0,Other iede phd student,0.0,45.65,24.3,12.97,1.79,0.0389,0.0389,0.0152,0.473,0.127,78.91,63.79,12.65,12.88,18.39,14.6,24.8730515768431
1774,TorringtonSq,TorringtonSq2,TS229,148.0,English,0,2019-03-18 13:32:00,2019-03-18 13:36:00,51.523373,-0.131141,4.0,2.0,4.0,1.0,-0.1464,0.3536,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,1.0,3.0,48.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,Student,2.0,1.0,,Rvc,,,,Sirens at night,4.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,34.6,21.8,7.5,2.05,0.0347,0.0347,0.0327,0.405,0.146,70.23,63.98,7.73,5.51,6.44,12.2,24.300952398993523
1775,TorringtonSq,TorringtonSq2,TS230,149.0,English,0,2019-03-18 13:33:00,2019-03-18 13:37:00,51.523373,-0.131141,3.0,2.0,4.0,2.0,0.3107,-0.4571,4.0,2.0,3.0,4.0,3.0,1.0,1.0,4.0,4.0,5.0,3.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,68.0,19.0,Male,0.0,0.0,0.0,1.0,0.0,0.0,,Student,2.0,1.0,,Royal veterinary college,,,,,4.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,31.49,14.4,3.4,1.8,0.0301,0.0301,0.0227,0.455,0.156,64.63,59.03,4.69,4.99,2.47,11.4,14.785096973417764
1776,TorringtonSq,TorringtonSq2,TS231,150.0,English,0,2019-03-18 13:37:00,2019-03-18 13:45:00,51.523373,-0.131141,3.0,2.0,3.0,3.0,0.3964,0.2929,4.0,3.0,5.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,84.0,21.0,Male,0.0,0.0,0.0,1.0,0.0,0.0,,Student,2.0,3.0,,UCL,,,,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,,0.0,21.13,15.6,4.65,1.75,0.0356,0.0356,0.0364,0.436,0.17,63.91,59.84,8.02,3.73,6.21,11.4,16.007068578498703
1777,TorringtonSq,TorringtonSq2,TS232,152.0,English,0,2019-03-18 13:45:00,2019-03-18 13:54:00,51.523373,-0.131141,2.0,4.0,4.0,2.0,0.4697,0.4874,2.0,2.0,4.0,1.0,4.0,1.0,5.0,1.0,4.0,5.0,3.0,5.0,4.0,2.0,2.0,2.0,1.0,3.0,40.0,27.0,Female,0.0,0.0,0.0,1.0,0.0,0.0,,Student,7.0,3.0,,UCL,,,,,4.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,26.55,22.0,10.96,1.7,0.0346,0.0346,0.0093,0.383,0.176,73.0,61.57,10.3,9.76,9.14,12.9,22.340974197225492
